STATE,NIIN_ITEM_NAME,NATIONAL_STOCK_NUMBER,QUANTITY, TOTAL_COST , TOTAL_COST ,SHIP_DATE
CO,LEP UWEAR ST BK L R,8415014766280,10,30.00, $300.00 ,07/12/2011
CO,LEP UWEAR ST BK L R,8415014766280,6, 30.00 , $180.00 ,24/04/2012
TX,LEP UWEAR ST B XL R,8415014766308,480, 45.00 ," $21,600.00 ",28/02/2012
MI,LEP UWEAR ST B XL R,8415014766308,11, 257.41 ," $2,831.51 ",08/03/2012
TN,LEP UWEAR ST B XL R,8415014766308,30, 1.00 , $30.00 ,21/03/2012
CA,LEP UWEAR ST B XL L,8415014766304,200, 45.00 ," $9,000.00 ",21/02/2012
CO,LEP UWEAR ST B XL L,8415014766304,50,30.00," $1,500.00 ",07/12/2011
GA,LEP UWEAR ST B XL L,8415014766304,30,30.00, $900.00 ,29/11/2011
CO,LEP UWEAR ST B XL L,8415014766304,12,30.00, $360.00 ,06/12/2011
CO,LEP UWEAR BLK MD RG,8415014766293,50,30.00," $1,500.00 ",07/12/2011
CO,LEP UWEAR BLK MD RG,8415014766293,25, 30.00 , $750.00 ,12/03/2012
GA,LEP UWEAR BLK MD RG,8415014766293,15,30.00, $450.00 ,29/11/2011
CO,LEP UWEAR BLK MD RG,8415014766293,25,14.00, $350.00 ,15/11/2011
CO,LEP UWEAR BLK MD RG,8415014766293,25,14.00, $350.00 ,15/11/2011
CO,LEP UWEAR BLK MD RG,8415014766293,25,14.00, $350.00 ,15/11/2011
CO,LEP UWEAR BLK MD RG,8415014766293,25,14.00, $350.00 ,15/11/2011
CO,LEP UWEAR BLK MD RG,8415014766293,10,30.00, $300.00 ,07/12/2011
CO,LEP UWEAR BLK MD RG,8415014766293,8,14.00, $112.00 ,15/11/2011
TX,LEP UWEAR BK LRG LG,8415014766275,480, 45.00 ," $21,600.00 ",28/02/2012
UT,LEP UWEAR BK LRG LG,8415014766275,120,14.00," $1,680.00 ",15/12/2011
CA,"LENSE,SPECTACLE REP",4240015255098,10, 500.80 ," $5,008.00 ",29/06/2012
TX,"LENSE,SPECTACLE REP",4240015255098,3, 500.80 ," $1,502.40 ",11/07/2012
WV,"LENS,SUN,WIND AND D",8465010042891,35, 0.56 , $19.60 ,23/04/2012
TX,"LENS,SPECTACLE REPL",4240015254819,3, 500.80 ," $1,502.40 ",11/07/2012
AL,"LENS,LIGHT         ",6210012045776,20, 15.95 , $319.00 ,17/04/2012
CA,"LENS,LIGHT         ",6220013592870,2, 7.84 , $15.68 ,19/07/2012
TX,"LENS,HELMET,WELDER'",4240014703936,2, 165.86 , $331.72 ,08/03/2012
AL,"LENS,HELMET,WELDER'",4240002037764,5,33.68, $168.40 ,18/10/2011
GU,"LENS,HELMET,WELDER'",4240011587042,4, 4.63 , $18.52 ,11/07/2012
GU,"LENS,HELMET,WELDER'",4240011156248,6, 2.65 , $15.90 ,11/07/2012
GU,"LENS,HELMET,WELDER'",4240013116917,2, 3.82 , $7.64 ,11/07/2012
GU,"LENS,HELMET,WELDER'",4240005402425,6, 1.21 , $7.26 ,11/07/2012
GU,"LENS,HELMET,WELDER'",4240008804456,6, 1.07 , $6.42 ,11/07/2012
GU,"LENS,HELMET,WELDER'",4240002768940,6, 0.90 , $5.40 ,11/07/2012
GU,"LENS,HELMET,WELDER'",4240005402421,6, 0.88 , $5.28 ,11/07/2012
GU,"LENS,HELMET,WELDER'",4240002768941,6, 0.81 , $4.86 ,11/07/2012
CA,"LENS,GOGGLES,INDUST",4240002627091,20, 1.98 , $39.60 ,11/07/2012
IN,"LENS,CAMERA,TELEVIS",5836015341828,1, 897.13 , $897.13 ,11/05/2012
IN,"LENS,CAMERA,TELEVIS",5836015341828,1, 897.13 , $897.13 ,11/05/2012
IN,"LENS,CAMERA,TELEVIS",5836015341828,1, 897.13 , $897.13 ,11/05/2012
IN,"LENS,CAMERA,TELEVIS",5836015341828,1, 897.13 , $897.13 ,11/05/2012
IN,"LENS,CAMERA,TELEVIS",5836015341828,1, 897.13 , $897.13 ,11/05/2012
IN,"LENS,CAMERA,GENERAL",6760010713065,5, 442.78 ," $2,213.90 ",06/08/2012
RI,LENS NIKON,672000LENS,1,300.00, $300.00 ,08/11/2011
AL,LENS LIGHT,6220007962245,11, 0.84 , $9.24 ,02/06/2012
RI,LENS GEMERAL NIKON 20MM,676000LENS,1, 283.00 , $283.00 ,30/03/2012
IN,LENS CONVERTOR CANON C9035,676000CONVERT,1, 200.00 , $200.00 ,17/02/2012
RI,LENS CAMERAL NIKON 75 33MM,676000LENS,1, 689.00 , $689.00 ,30/03/2012
CA,LENS CAMERA NIKON 70 300MM,676000LENS,1, 2587.00 ," $2,587.00 ",09/08/2012
DE,LENS CAMERA NIKON 70 300MM,676000LENS,1, 2587.00 ," $2,587.00 ",19/07/2012
IN,LENS CAMERA GEN PHOTOGRAPHIC,676000LENS,5, 1.00 , $5.00 ,14/08/2012
UT,LENS CAMERA GEN PHOTOGRAPHIC,676000LENS,1, 1.00 , $1.00 ,15/08/2012
IN,LENS CAMERA 70 300MM,676000LENS,3, 479.99 ," $1,439.97 ",17/02/2012
IN,LENS CAMERA 28 200MM,676000LENS,1, 299.99 , $299.99 ,17/02/2012
IN,LENS CAMERA 18 70MM,676000LENS,2, 309.80 , $619.60 ,17/02/2012
DE,LENS CAMERA 18 200MM NIKON,676000LENS,1, 629.30 , $629.30 ,19/07/2012
IN,LENS CAMERA,676000B010001,1,656.58, $656.58 ,08/11/2011
IN,LENS CAMERA,676000B010001,1,628.66, $628.66 ,08/11/2011
IN,LENS CAMERA,676000B010001,1,628.66, $628.66 ,08/11/2011
IN,LENS CAMERA,676000B010001,1,431.95, $431.95 ,08/11/2011
CA,"LENS ASSEMBLY,FOCUS",5855013825169,-38, 8.24 , $(313.12),20/01/2012
DE,LENS 75 240MM NIKON,676000LENS,1, 150.00 , $150.00 ,15/03/2012
IN,LENS 70 210MM ZOOM FOR M 90S,676000LENS,1, 299.99 , $299.99 ,11/05/2012
IN,LENS 70 210MM FOR M 90S,676000LENS,1, 299.99 , $299.99 ,11/05/2012
IN,LENS 35MM SIGMA,676000LENS,2, 2587.00 ," $5,174.00 ",31/07/2012
IN,LENS 35MM SIGMA,676000LENS,1, 2587.30 ," $2,587.30 ",31/07/2012
DE,LENS 35MM NIKON,676000LENS,1, 2169.99 ," $2,169.99 ",19/07/2012
DE,LENS 35MM NIKON,676000LENS,1, 1759.95 ," $1,759.95 ",19/07/2012
DE,LENS 35MM NIKON,676000LENS,1, 300.00 , $300.00 ,19/07/2012
IN,LENS 35MM NIKON,676000LENS,1, 133.00 , $133.00 ,05/04/2012
DE,LENS 35MM,676000LENS,1, 1369.99 ," $1,369.99 ",19/07/2012
RI,LENS 300MM F 4 ED IF ZOOM,676000LENS30,1, 959.00 , $959.00 ,13/04/2012
NC,LENS 24 85MM,676000LENS,1, 450.00 , $450.00 ,02/07/2012
NC,LENS 24 85MM,676000LENS,1, 450.00 , $450.00 ,02/07/2012
RI,LENS  CAMERA,676000LENS,4, 508.00 ," $2,032.00 ",18/06/2012
IN,LENS  CAMERA,676000LENS,2, 508.00 ," $1,016.00 ",11/05/2012
GA,LENS  CAMERA,6750PCANLENS,4, 50.00 , $200.00 ,13/04/2012
GA,LENS  CAMERA,6750PCANLENS,3, 50.00 , $150.00 ,13/04/2012
DE,LENS  24MM NIKON F2 8,676000LENS,3, 255.00 , $765.00 ,15/03/2012
DE,LENS  24MM NIKON,676000LENS,2, 255.00 , $510.00 ,15/03/2012
CA,LENOVOEXTERNALCDDVDBURNERS,7025DSDVDROMO,2, 73.00 , $146.00 ,02/02/2012
CA,LENOVO EXTERNAL CD DVD DRIVE,7025DSDVDROMO,2, 73.00 , $146.00 ,02/02/2012
CA,"LEGGINGS,SURGICAL  ",6532014586595,1, 311.20 , $311.20 ,27/06/2012
CA,"LEGGINGS,SURGICAL  ",6532013689150,1, 104.23 , $104.23 ,27/06/2012
TX,LEGCURL,783000LEGCU,1,50.00, $50.00 ,15/12/2011
TN,"LEG,MEDICAL INSTRUM",6545011571155,20, 22.71 , $454.20 ,10/04/2012
AL,LEG WT MACHINE,783000WTLEG,1, 2300.00 ," $2,300.00 ",06/08/2012
TX,LEG RAISE L61,783000LEGRAIS,1, 1500.00 ," $1,500.00 ",19/01/2012
TX,LEG RAISE,783000LEG,1,50.00, $50.00 ,15/12/2011
OH,LEG PRESSING STATION,7830DSLEGCURL,1, 250.00 , $250.00 ,04/04/2012
OR,LEG PRESS SQUAT RACK,7830DSRECGYME,1, 4099.00 ," $4,099.00 ",03/05/2012
WA,LEG PRESS SQUAT RACK,7830DSRECGYME,1, 4099.00 ," $4,099.00 ",11/05/2012
TX,LEG PRESS NATILUS,783000NFNEXER,1,400.00, $400.00 ,15/12/2011
AL,LEG PRESS  EXERCISE,783000EXERCIS,1, 5700.00 ," $5,700.00 ",10/04/2012
AL,LEG PRESS,783000PRESS,1, 4296.00 ," $4,296.00 ",06/08/2012
AL,LEG PRESS,7830DSLEGPRES,1,2500.00," $2,500.00 ",02/11/2011
CA,LEG PRESS,7830DSLEGPRES,1, 2155.00 ," $2,155.00 ",06/01/2012
CA,LEG PRESS,7830DSLEGPRES,1, 2155.00 ," $2,155.00 ",02/03/2012
CO,LEG PRESS,7830009453149,1,905.00, $905.00 ,14/12/2011
CA,LEG PRESS,7830DSRECGYME,1, 500.00 , $500.00 ,25/07/2012
GA,LEG PRESS,783000LEGPRES,1, 200.00 , $200.00 ,16/05/2012
GA,LEG POUCH,841500LEGPOUC,4,20.00, $80.00 ,21/12/2011
AL,LEG POUCH,841500LEGPOUC,2,20.00, $40.00 ,23/12/2011
CA,LEG MACHINE,7830DSLEGCURL,1,500.00, $500.00 ,16/11/2011
CO,LEG LIFT CHAIR,7830DSRECGYME,1,1000.00," $1,000.00 ",25/10/2011
TX,LEG IRONS          ,8465002427861,24,31.57, $757.68 ,15/11/2011
OH,LEG EXTENTION,7830PLEGEXTEN,1,1000.00," $1,000.00 ",15/12/2011
TX,LEG EXTENTION,783000LEGEXTE,1,50.00, $50.00 ,15/12/2011
CA,LEG EXTENSION MACHINE,7830EXERCISER,1, 500.00 , $500.00 ,01/03/2012
AL,LEG EXTENSION  EXERCISE,783000EXERCIS,1, 4900.00 ," $4,900.00 ",10/04/2012
GA,LEG EXTENSION  EXERCISE,783000EXERCIS,1, 500.00 , $500.00 ,16/03/2012
CO,LEG EXTENSION,7830DSRECGYME,1, 3825.00 ," $3,825.00 ",06/02/2012
TX,LEG EXTENSION,7830LEGEX,1, 500.00 , $500.00 ,29/06/2012
TX,LEG EXTENSION,7830DSGYM0000,1,200.00, $200.00 ,28/12/2011
CA,LEG CURL NAUTILUS,7810LEGCURL,1, 1429.71 ," $1,429.71 ",06/06/2012
CA,LEG CURL MACHINE,7830DSLEGCURL,1, 3194.00 ," $3,194.00 ",03/02/2012
OH,LEG CURL MACHINE,7830PLEGCURL,1,1000.00," $1,000.00 ",15/12/2011
AL,LEG CURL MACHINE,783000LEGCURL,1, 750.00 , $750.00 ,07/06/2012
MI,LEG CURL MACHINE,7830DSLEGCURL,1, 600.00 , $600.00 ,07/05/2012
AL,LEG CURL L85,783000LEGCURL,1, 1500.00 ," $1,500.00 ",26/04/2012
AL,LEG CURL  EXERCISE,783000EXERCIS,1, 500.00 , $500.00 ,24/02/2012
GU,LEG CURL,7830DSRECGYME,1, 2545.61 ," $2,545.61 ",24/05/2012
TN,LEG CURL,7830PRONELEGC,1, 1700.00 ," $1,700.00 ",20/04/2012
GU,LEG CURL,7830DSRECGYME,1, 650.00 , $650.00 ,24/05/2012
GA,LEG CURL,783000EXERCIS,1, 1.00 , $1.00 ,16/03/2012
GA,LEG  EXTENSION,783000GYMEQUI,1, 1500.00 ," $1,500.00 ",01/02/2012
GA,LEG  CURL,783000GYMEQUI,1, 1500.00 ," $1,500.00 ",01/02/2012
VA,LECTERN  MODULAR,2090DSMISCMAR,1,167.01, $167.01 ,16/12/2011
NV,LEATHER LAPTOP CASE,7045DSLAPCASE,1, 50.00 , $50.00 ,24/07/2012
TX,"LEASH,SHEARS,TRAUMA",6515015407226,50, 20.65 ," $1,032.50 ",16/05/2012
NM,"LEAK DETECTOR,REFRI",4940009941803,1, 678.00 , $678.00 ,30/07/2012
IN,LEAF VACUUM  BILLY GOAT,375000VACUUM,1, 500.00 , $500.00 ,22/02/2012
IN,LEAF BLOWERS,375000BLOWERS,1, 75.00 , $75.00 ,22/02/2012
GA,LEAF BLOWER,3750LEAFBLOWE,3, 350.00 ," $1,050.00 ",26/01/2012
TN,LEAF BLOWER,375000BLOWER,1, 400.00 , $400.00 ,04/05/2012
CA,LEAF BLOWER,4140DSBLOWER1,1, 250.00 , $250.00 ,24/04/2012
GA,LEAF BLOWER,375000BLOWER,1, 189.99 , $189.99 ,06/06/2012
AL,LEAF BLOWER,375000B001111,1,140.00, $140.00 ,21/11/2011
MI,LEAF BLOWER,9999LEAFBLOWE,2,50.00, $100.00 ,15/12/2011
KY,LEAF BLOWER,375000BLOWER,1, 50.00 , $50.00 ,31/07/2012
KY,LEAF BLOWER,375000BLOWER,1, 50.00 , $50.00 ,31/07/2012
GA,"LEAD,STORAGE BATTER",6150015924267,61, 86.57 ," $5,280.77 ",17/03/2012
MI,"LEAD,STORAGE BATTER",6150012686589,12, 31.32 , $375.84 ,20/04/2012
MI,"LEAD,STORAGE BATTER",6150008446205,4, 11.01 , $44.04 ,26/04/2012
GA,"LEAD,ELECTRICAL    ",5995013050904,26, 142.67 ," $3,709.42 ",05/05/2012
GA,"LEAD,ELECTRICAL    ",5995011399746,6, 279.00 ," $1,674.00 ",06/04/2012
GA,"LEAD,ELECTRICAL    ",6150004446959,12, 116.94 ," $1,403.28 ",10/05/2012
GA,"LEAD,ELECTRICAL    ",6150014083929,4, 214.20 , $856.80 ,13/02/2012
TX,"LEAD,ELECTRICAL    ",6150013391203,2, 394.13 , $788.26 ,05/04/2012
GA,"LEAD,ELECTRICAL    ",6150014083932,24, 27.42 , $658.08 ,13/02/2012
GA,"LEAD,ELECTRICAL    ",6150004446959,5, 116.94 , $584.70 ,13/07/2012
GA,"LEAD,ELECTRICAL    ",6150013865638,1, 448.66 , $448.66 ,22/02/2012
GA,"LEAD,ELECTRICAL    ",5995009442857,1, 118.00 , $118.00 ,12/04/2012
TX,"LEAD,ELECTRICAL    ",6150014463499,3, 25.07 , $75.21 ,05/04/2012
NH,LEAD SET TEST,6625013211152,2, 100.00 , $200.00 ,07/07/2012
NH,LEAD SET TEST,6625013211152,2, 100.00 , $200.00 ,14/07/2012
NH,LEAD SET TEST,6625013211152,2, 100.00 , $200.00 ,14/07/2012
AL,LCD TV MONITOR ARM,702001M0NITOR,3, 169.50 , $508.50 ,03/08/2012
NY,LCD PROJECTOR,6730DSSCREENO,2, 450.00 , $900.00 ,05/03/2012
NC,LCD PROJECTOR,6730DSPROJEC1,1, 300.00 , $300.00 ,29/03/2012
IL,LCD MOUNT,751001LCDMOUN,10, 20.00 , $200.00 ,02/05/2012
OH,LCD MOUNT,751001LCDMOUN,6, 20.00 , $120.00 ,04/04/2012
OH,LCD MOUNT,751001LCDMOUN,5, 20.00 , $100.00 ,27/04/2012
TX,LCD MONITOR,702500FLATPAN,30,273.00," $8,190.00 ",02/11/2011
TX,LCD MONITOR,702500FLATPAN,25,304.00," $7,600.00 ",02/11/2011
IL,LB2 TACTICAL KIT   ,6230015285158,10, 84.32 , $843.20 ,10/02/2012
IL,LAWNMOWER TORO,3750DSLANSCP,1,10940.35," $10,940.35 ",14/11/2011
GA,LAWNMOWER RIDING JOHN,375001C071666,1, 2260.74 ," $2,260.74 ",16/02/2012
KY,LAWNMOWER RIDING,375001C083580,1, 1937.00 ," $1,937.00 ",07/06/2012
IN,LAWNMOWER RIDING,375001C087077,1, 1500.00 ," $1,500.00 ",29/02/2012
KY,LAWNMOWER HUSTLER 4600,375000LAWNMWR,1,15112.00," $15,112.00 ",29/12/2011
DE,LAWNMOWER EXMARK,3750DSLANDSCP,1, 3000.00 ," $3,000.00 ",08/02/2012
OH,LAWNMOWER,375000LAWNMR,3, 100.00 , $300.00 ,04/01/2012
WI,LAWN TRACTOR WITH SNOWBLOWER,375001Z607514,1, 10940.35 ," $10,940.35 ",05/04/2012
GA,LAWN MOWERS,375000MOWER,3, 220.00 , $660.00 ,29/03/2012
TX,LAWN MOWER RIDING,375001C024020,1, 2024.19 ," $2,024.19 ",03/02/2012
GA,LAWN MOWER RIDER,3750LAWNMOWER,1,500.00, $500.00 ,19/10/2011
IN,LAWN MOWER  RIDING,3750DSLANDSCP,1, 10000.00 ," $10,000.00 ",12/01/2012
SC,LAWN MOWER,3750DSLANDSCP,1, 5503.96 ," $5,503.96 ",30/03/2012
GA,LAWN MOWER,375001C026427,3, 500.00 ," $1,500.00 ",26/01/2012
GA,LAWN MOWER,375000B001146,4,169.79, $679.16 ,19/10/2011
GA,LAWN MOWER,375001C060019,1,630.99, $630.99 ,01/12/2011
GA,LAWN MOWER,375000LAWNMOW,4,150.00, $600.00 ,21/10/2011
GA,LAWN MOWER,375000B000146,5, 120.00 , $600.00 ,29/03/2012
AL,LAWN MOWER,375000MOWER,2, 200.00 , $400.00 ,24/05/2012
NM,LAWN MOWER,3750DSTRIMMER,2, 200.00 , $400.00 ,04/04/2012
SC,LAWN MOWER,375001C122163,1,299.00, $299.00 ,21/10/2011
GA,LAWN MOWER,375000B001146,1, 189.00 , $189.00 ,23/04/2012
GA,LAWN MOWER,375000B001146,1, 117.75 , $117.75 ,17/03/2012
IN,LAWN MOWER,375000MOWERS,2, 50.00 , $100.00 ,22/02/2012
GU,LAWN MMOWER,3750DSLANDSCP,2, 248.00 , $496.00 ,02/04/2012
TX,LAWN CARE SPRAYER UTILITY  SP,374000SPRAYER,1,2000.00," $2,000.00 ",19/10/2011
DE,LAWN  SPRAYER,3740DSSPRAYER,1, 100.00 , $100.00 ,06/04/2012
FL,LAVATORY SINK,7195LAVATORYS,2,50.00, $100.00 ,21/12/2011
AL,LAUNDRY CLEANER,351000LAUNDRY,1, 500.00 , $500.00 ,26/04/2012
NJ,LATRINE TRAILER,2330DSTRAILE1,1, 20000.00 ," $20,000.00 ",23/02/2012
NJ,LATRINE TRAILER,2330DSTRAILE1,1, 20000.00 ," $20,000.00 ",09/03/2012
WV,"LATRINE BOX,PREFABR",5450007835720,2, 388.81 , $777.62 ,16/04/2012
TX,LATPULLDOWN,783000LATPULL,1,50.00, $50.00 ,15/12/2011
WV,LATITUDE E6500,7021DSLAPTOP2,8, 1606.12 ," $12,848.96 ",21/03/2012
CA,LATITUDE E6500,7021DSLAPTOP2,5, 1606.12 ," $8,030.60 ",01/03/2012
TX,"LATHE,TURRET,HORIZO",3416013702403,1, 190507.68 ," $190,507.68 ",07/06/2012
OH,"LATHE,ENGINE       ",3416010341257,1, 53795.00 ," $53,795.00 ",10/04/2012
TX,"LATHE,ENGINE       ",3416007253508,1, 44292.00 ," $44,292.00 ",03/01/2012
OH,"LATHE,ENGINE       ",3416001864061,1,18367.00," $18,367.00 ",15/11/2011
IN,"LATHE,ENGINE       ",3416001864060,1, 17566.65 ," $17,566.65 ",26/01/2012
NV,"LATHE,ENGINE       ",3416001864060,1,17566.65," $17,566.65 ",24/10/2011
NV,"LATHE,ENGINE       ",3416001864060,1,17566.65," $17,566.65 ",24/10/2011
TX,"LATHE,ENGINE       ",3416003879521,1, 16800.00 ," $16,800.00 ",22/02/2012
VA,LATHE TABLETOP,3220DSWOODMAC,1, 150.00 , $150.00 ,04/01/2012
OH,LATHE BRAKE,3416DSLATHE00,1, 500.00 , $500.00 ,10/04/2012
IN,LATHE 12 1 2 SWING SCREW,341600R0001B9,1,16031.00," $16,031.00 ",13/10/2011
MT,LATHE  ENGINE,3416DSLATHE00,1,50000.00," $50,000.00 ",12/10/2011
OH,LATHE,3210DSLATHE00,1, 2009.21 ," $2,009.21 ",12/06/2012
AL,LATEX RUBBERDAM MEDIUM BLUE,6520L3771474,9, 16.68 , $150.12 ,27/03/2012
UT,LATEX LARGE GLOVES,65150L1415455,8, 45.00 , $360.00 ,25/01/2012
DE,LATEX  TRAFFIC LINE,8010DSLATEX00,1,155.55, $155.55 ,17/11/2011
TX,LATERIAL RAISE,783000LATERIA,1,50.00, $50.00 ,15/12/2011
CA,LATERAL RISE NAUTILUS,7810LATERAL,1, 1729.91 ," $1,729.91 ",06/06/2012
AL,LATERAL RAISE MACHINE,783000LATERAL,1, 2525.00 ," $2,525.00 ",06/08/2012
AL,LATERAL RAISE EXERCISE,783000EXERCIS,1, 500.00 , $500.00 ,24/02/2012
GU,LATERAL RAISE,7830DSRECGYME,1, 2545.61 ," $2,545.61 ",24/05/2012
TX,LATERAL RAISE,7830000RAISE,1, 2000.00 ," $2,000.00 ",17/01/2012
CO,LATERAL RAISE,7830DSRECGYME,1,800.00, $800.00 ,06/12/2011
TX,LATERAL RAISE,783000LATERAL,1,50.00, $50.00 ,14/12/2011
WV,LATERAL PULLDOWN,7830DSLATPDWN,1, 2126.00 ," $2,126.00 ",06/03/2012
IL,LATERAL PULL DOWN A016781,7830DSRECGYME,1, 2321.13 ," $2,321.13 ",15/02/2012
CA,LATERAL LEG EXTENSION,7830DSLATERAL,1, 1274.00 ," $1,274.00 ",02/03/2012
TX,LATERAL HIGH ROW,7830000ROW,1, 2000.00 ," $2,000.00 ",22/02/2012
TX,LATERAL FILE CABINETS,711000CABINET,6, 50.00 , $300.00 ,08/03/2012
TX,LATERAL FILE CABINETS,711000CABINET,5, 50.00 , $250.00 ,01/03/2012
TX,LATERAL FILE CABINET,7110DSFILECA0,1, 250.00 , $250.00 ,26/12/2012
CA,"LATCH,THUMB        ",5340011067825,4,10.35, $41.40 ,19/11/2011
TX,"LATCH,STORAGE DOOR ",2510009377959,3, 7.96 , $23.88 ,02/08/2012
AL,"LATCH,SAFETY,HOOK  ",4030014982575,6, 14.07 , $84.42 ,13/01/2012
TX,"LATCH,PINTLE HOOK  ",2540008212277,1, 111.70 , $111.70 ,25/01/2012
CA,"LATCH,MORTISE      ",5340006791495,22,88.27," $1,941.94 ",12/11/2011
CA,"LATCH,MORTISE      ",5340006791495,2,88.27, $176.54 ,19/11/2011
MS,"LATCH,MORTISE      ",5340006791495,2, 88.27 , $176.54 ,30/04/2012
CA,"LATCH,HOOD,VEHICULA",2540011859530,15, 19.91 , $298.65 ,13/01/2012
CA,"LATCH,HOOD,VEHICULA",2540011859530,12, 19.91 , $238.92 ,06/04/2012
IN,"LATCH,HOOD,VEHICULA",2540011859530,2, 19.91 , $39.82 ,06/04/2012
TX,"LATCH,DOOR,VEHICULA",2540013575687,9, 31.04 , $279.36 ,08/05/2012
CA,"LATCH SET,MORTISE  ",5340011630917,19,10.81, $205.39 ,10/11/2011
SC,LATCH HOOD VEHICULA,2510011623623,4,31.21, $124.84 ,15/11/2011
CA,LATCH HOOD VEHICULA,2510011623623,2, 31.21 , $62.42 ,12/04/2012
GA,LATCH HOOD VEHICULA,2510011623623,2,31.21, $62.42 ,12/11/2011
GA,LAT PULLDOWN  EXERCISE,7830000EXERCI,1, 300.00 , $300.00 ,16/03/2012
CO,LAT PULL DOWN,7830DSRECGYME,1, 3995.00 ," $3,995.00 ",07/02/2012
CO,LAT PULL DOWN,7830DSRECGYME,1, 1772.00 ," $1,772.00 ",14/02/2012
MI,LAT FILE CAB,7110DSFILECA0,1, 200.00 , $200.00 ,01/08/2012
ID,LASERSURVEY,6675DSLASERSU,1, 55.01 , $55.01 ,26/04/2012
GU,LASERJET PRINTER,702500PRINTER,1, 500.00 , $500.00 ,06/03/2012
WA,LASERJET PRINTER,7025DSPRINT05,1,175.00, $175.00 ,15/12/2011
IN,LASER SCANNER READER,702500LASERSC,1,480.00, $480.00 ,02/11/2011
WA,LASER RANGEFINDER W,1240012642040,1, 27505.00 ," $27,505.00 ",11/08/2012
AL,LASER PRITNER,702500LASERPR,1,500.00, $500.00 ,20/10/2011
TX,LASER PRINTER COLOR,702500LASERPR,2,3553.00," $7,106.00 ",29/11/2011
TX,LASER PRINTER COLOR,702500LASERPR,1,699.00, $699.00 ,08/12/2011
AZ,LASER PRINTER,702500LASERPR,2, 2525.00 ," $5,050.00 ",23/04/2012
CA,LASER PRINTER,702500LASERPR,2,2208.00," $4,416.00 ",07/10/2011
GA,LASER PRINTER,702500LASERPR,2, 1996.00 ," $3,992.00 ",23/01/2012
TX,LASER PRINTER,702100LASERPR,2,1290.00," $2,580.00 ",05/10/2011
IL,LASER PRINTER,7025DSLASERPR,1, 2544.74 ," $2,544.74 ",09/01/2012
IL,LASER PRINTER,7025DSLASERPR,1, 2457.97 ," $2,457.97 ",09/03/2012
KY,LASER PRINTER,7025DSLASERPR,1, 2457.97 ," $2,457.97 ",21/02/2012
CA,LASER PRINTER,702500LASERPR,2,1190.00," $2,380.00 ",07/10/2011
CA,LASER PRINTER,7025DSPRINT05,1, 2100.00 ," $2,100.00 ",02/02/2012
CA,LASER PRINTER,702500LASERPR,1, 100.00 , $100.00 ,27/01/2012
GA,LASER KIT,6675LASERKIT,1,1665.00," $1,665.00 ",29/12/2011
AZ,LASER COLOR PRINTER,7025DSLASERPR,1,1600.00," $1,600.00 ",09/11/2011
GA,LASER BORE SIGHTER,624000SIGHTER,10, 90.00 , $900.00 ,02/07/2012
TX,LARYNOSCOPE BLADES,651500BLADES,6,350.00," $2,100.00 ",01/12/2011
OH,"LARYNGOSCOPE,GREEN ",6515014509790,12,115.74," $1,388.88 ",22/12/2011
OH,"LARYNGOSCOPE,GREEN ",6515014509790,6,115.74, $694.44 ,22/12/2011
AZ,"LARYNGOSCOPE,GREEN ",6515014509790,2, 115.74 , $231.48 ,30/07/2012
CA,"LARYNGOSCOPE,GREEN ",6515014509790,2, 115.74 , $231.48 ,05/06/2012
GU,"LARYNGOSCOPE,GREEN ",6515014509790,1, 115.74 , $115.74 ,28/06/2012
GU,"LARYNGOSCOPE,GREEN ",6515014509790,1, 115.74 , $115.74 ,28/06/2012
OH,LARYNGOSCOPE SET   ,6515015727262,2,12435.01," $24,870.02 ",04/11/2011
AZ,LARYNGOSCOPE SET   ,6515012861010,4, 2008.57 ," $8,034.28 ",31/07/2012
AL,LARYNGOSCOPE SET   ,6515012861010,3, 2008.57 ," $6,025.71 ",25/01/2012
MI,LARYNGOSCOPE SET   ,6515015342369,10, 539.18 ," $5,391.80 ",21/06/2012
AL,LARYNGOSCOPE SET   ,6515012861010,2, 2008.57 ," $4,017.14 ",26/03/2012
AL,LARYNGOSCOPE SET   ,6515012861010,2, 2008.57 ," $4,017.14 ",23/05/2012
AL,LARYNGOSCOPE SET   ,6515012861010,1, 2008.57 ," $2,008.57 ",25/01/2012
AL,LARYNGOSCOPE SET   ,6515012861010,1, 2008.57 ," $2,008.57 ",25/01/2012
AR,LARYNGOSCOPE SET   ,6515015194529,2, 722.09 ," $1,444.18 ",14/08/2012
AL,LARYNGOSCOPE SET   ,6515015342369,1, 539.18 , $539.18 ,21/03/2012
IN,LARYNGOSCOPE SET   ,6515015342369,1, 539.18 , $539.18 ,21/03/2012
IN,LARYNGOSCOPE SET   ,6515015342369,1, 539.18 , $539.18 ,21/03/2012
IN,LARYNGOSCOPE SET   ,6515015342369,1, 539.18 , $539.18 ,21/03/2012
TX,LARYNGOSCOPE SET   ,6515015342369,1, 539.18 , $539.18 ,10/07/2012
AL,LARYNGOSCOPE FLEXIBLE INTUBAT,651500LARYNGS,1, 8677.57 ," $8,677.57 ",01/03/2012
AL,LARYNGOSCOPE FLEXIBLE  INTUBA,651501C722072,1, 6545.91 ," $6,545.91 ",01/03/2012
TX,LARYNGOSCOPE BLADES,651500BLADES,6,350.00," $2,100.00 ",01/12/2011
